日付,ドル
2015/12/4,123.16
2015/12/7,123.37
2015/12/8,122.9
2015/12/9,121.42
2015/12/10,121.58
2015/12/11,120.86
2015/12/14,121.02
2015/12/15,121.65
2015/12/16,122.2
2015/12/17,122.55
2015/12/18,121.2
2015/12/21,121.15
2015/12/22,121.05
2015/12/23,120.91
2015/12/24,120.42
2015/12/25,120.4
2015/12/28,120.38
2015/12/29,120.46
2015/12/30,120.49
2015/12/31,120.3
2016/1/1,120.3
2016/1/4,119.42
2016/1/5,119.05
2016/1/6,118.46
2016/1/7,117.66
2016/1/8,117.44
2016/1/11,117.75
2016/1/12,117.62
2016/1/13,117.66
2016/1/14,118.04
2016/1/15,117.05
2016/1/18,117.31
2016/1/19,117.62
2016/1/20,116.91
2016/1/21,117.68
2016/1/22,118.77
2016/1/25,118.28
2016/1/26,118.41
2016/1/27,118.66
2016/1/28,118.81
2016/1/29,121.03
2016/2/1,120.97
2016/2/2,119.94
2016/2/3,117.88
2016/2/4,116.74
2016/2/5,116.89
2016/2/8,115.84
2016/2/9,115.1
2016/2/10,113.32
2016/2/11,112.41
2016/2/12,113.2
2016/2/15,114.57
2016/2/16,114.06
2016/2/17,114.08
2016/2/18,113.23
2016/2/19,112.54
2016/2/22,112.91
2016/2/23,112.1
2016/2/24,112.17
2016/2/25,112.98
2016/2/26,113.99
2016/2/29,112.66
2016/3/1,113.98
2016/3/2,113.45
2016/3/3,113.67
2016/3/4,113.75
2016/3/7,113.43
2016/3/8,112.61
2016/3/9,113.31
2016/3/10,113.18
2016/3/11,113.8
2016/3/14,113.81
2016/3/15,113.17
2016/3/16,112.57
2016/3/17,111.37
2016/3/18,111.55
2016/3/21,111.93
2016/3/22,112.36
2016/3/23,112.35
2016/3/24,112.89
2016/3/25,113.04
2016/3/28,113.43
2016/3/29,112.68
2016/3/30,112.42
2016/3/31,112.56
2016/4/1,111.65
2016/4/4,111.31
2016/4/5,110.31
2016/4/6,109.78
2016/4/7,108.2
2016/4/8,108.03
2016/4/11,107.93
2016/4/12,108.53
