年月,BC,CI,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
2009年5月,1,72.2 ,85.5,79.8,92.6,95,78.7,-2.7,-30.8,41516,0.46,85.9
2009年6月,1,73.4 ,87.1,83.1,96.4,95.7,78,-3,-28.9,52465,0.44,89.9
2009年7月,1,74.1 ,88.3,85.2,95,97.7,76.7,-2.5,-30.1,61603,0.43,91.3
2009年8月,1,75.8 ,89.6,87,96.6,95.7,80.4,-1.7,-28.1,70742,0.42,95.1
2009年9月,1,78.0 ,92.6,91,102.6,95.8,81.7,-1.3,-27.2,79880,0.43,96.5
2009年10月,1,80.0 ,95,93.5,107.9,96.4,81.8,-1,-24.1,85266,0.44,102.4
2009年11月,1,81.5 ,97,95.4,112.7,95.9,82.2,-1.2,-18.1,90651,0.44,103.1
2009年12月,1,83.2 ,97.8,98,113.3,96.3,84,-0.3,-13.6,96037,0.44,103.5
2010年1月,1,85.7 ,100.3,102.8,118,97.9,86.6,2,-4.8,95698,0.45,108.3
2010年2月,1,86.8 ,100.7,102.6,120.8,97.2,90.2,3.9,-1.1,95360,0.46,106.3
2010年3月,1,87.7 ,100.9,103,122.6,99.4,90.8,4.5,2.8,95021,0.48,110.5
2010年4月,1,88.8 ,102,102,120.6,99,91.8,4.6,4.4,102247,0.49,112.7
2010年5月,1,88.2 ,101.8,102.4,114.7,96.7,88.8,2.8,1.9,109474,0.5,113
2010年6月,1,88.7 ,101,99.7,114.1,97.4,92.2,3.3,1.7,116700,0.51,112.2
2010年7月,1,89.3 ,102.1,100,112.5,98.2,93.1,4.3,1.2,116791,0.53,113.3
2010年8月,1,89.9 ,102.5,99.8,116.1,97.8,93.2,4.6,2.5,116882,0.54,107.5
2010年9月,1,90.1 ,104.1,99.4,118.4,99,95.1,1.9,2.7,116973,0.55,111.5
2010年10月,1,89.7 ,101.2,98.1,114.8,97.4,96.7,0.6,1.5,119123,0.56,112.1
2010年11月,1,91.7 ,102.8,101.3,118.2,97.6,97.3,2.1,7.3,121273,0.58,114.1
2010年12月,1,91.6 ,103.4,102.4,118.5,98.1,96.8,-1.9,6.3,123423,0.59,115.9
2011年1月,1,91.8 ,103.9,104.3,115,98.4,97,0.3,5.2,118641,0.6,112.4
2011年2月,1,93.0 ,104.5,105.8,118.6,98.4,101,0.4,7.8,113858,0.62,117.3
2011年3月,1,86.8 ,87.3,90.7,84.9,97.8,89.9,-8,1.5,109076,0.62,104.5
2011年4月,1,85.2 ,89.2,87.7,65.5,96.6,94.4,-3.9,-1.3,102695,0.62,97.5
2011年5月,1,87.2 ,95.3,89.4,80.4,96.6,97,-0.4,2.4,96315,0.61,103.8
2011年6月,1,89.4 ,99.3,94.1,105.5,98.5,98.5,1.9,3.8,89934,0.62,106.7
2011年7月,1,90.8 ,100.5,95.4,109.1,96.5,98,0.9,2.9,96071,0.64,107.7
2011年8月,1,91.8 ,102.2,97.6,110.2,97.8,98.7,-2.4,4.9,102208,0.65,107.4
2011年9月,1,92.5 ,101.3,98.2,111.8,98.8,93.7,-1.5,0.7,108345,0.67,110.4
2011年10月,1,94.3 ,103.1,99.6,117.4,97,98.8,1.4,0.9,107919,0.69,107.2
2011年11月,1,92.8 ,100.9,96.7,106.6,98.2,100.1,-2.3,-2.2,107494,0.71,105.3
2011年12月,1,94.9 ,102.9,100.3,119.9,98.7,100.3,2.5,-2.1,107068,0.72,105.8
2012年1月,1,95.3 ,103.3,99.7,124.4,97.9,99.8,1.6,-3.8,108280,0.74,103.3
2012年2月,1,96.0 ,103.1,101.1,126.6,101.8,97.6,3.1,-1.3,109491,0.75,106.4
2012年3月,1,97.1 ,102.9,102.4,120,99.6,98.6,9.3,0.9,110703,0.77,106.4
2012年4月,0,95.8 ,102.4,100,117.1,97.5,97.2,5,0.4,108408,0.78,105.4
2012年5月,0,95.3 ,100.6,98.3,111.4,99.6,100,3,2.6,106113,0.79,108.8
2012年6月,0,93.5 ,99.8,97,105.3,98.4,96.7,-0.2,-3.6,103818,0.8,103.8
2012年7月,0,92.9 ,99.3,95.6,105.1,97.2,96.1,-1.3,-4,103727,0.81,101.5
2012年8月,0,93.1 ,97.8,95.1,105.7,98.6,94.2,1.3,-4.4,103635,0.82,99.8
2012年9月,0,91.7 ,95.7,93.4,97.3,97.5,93.4,0.4,-5.1,103544,0.81,99.2
2012年10月,0,91.5 ,96,93.8,95.7,98.8,91.6,-1.2,-1.8,102711,0.82,97.2
2012年11月,0,91.2 ,95.1,93.3,92.6,100.5,90.7,0.9,-1.6,101879,0.82,95.7
2012年12月,1,92.5 ,96.4,95.7,99.6,97.1,94.4,0.2,-2.5,101046,0.83,96.4
2013年1月,1,92.7 ,94.8,95.6,103.1,96.9,91.7,-1.1,0.1,104603,0.84,98.8
2013年2月,1,93.7 ,96.5,96.8,105.3,98.1,93.4,-2.2,-1.3,108159,0.85,96.9
2013年3月,1,95.2 ,97.7,98.7,104.6,96.3,97.9,-0.3,-1.8,111716,0.87,100.4
2013年4月,1,95.7 ,97.7,98.9,106.9,98.8,95.7,-0.2,-0.1,113018,0.88,100.2
2013年5月,1,96.7 ,99.3,100.3,105.8,100.7,96.3,0.8,0.5,114321,0.9,104.4
2013年6月,1,96.9 ,98.2,99.3,108.5,97.4,95.7,1.6,0.1,115623,0.92,100.3
2013年7月,1,98.1 ,99.8,101.7,106.4,99,97.2,-0.3,2,119700,0.93,101.1
2013年8月,1,99.1 ,100,101.6,108.4,99.6,98.7,1.1,0.4,123778,0.95,101.8
2013年9月,1,100.0 ,101,101.7,110.4,97.9,98.5,3,2.7,127855,0.96,100.1
2013年10月,1,100.7 ,101.2,101.8,110.8,99.7,100.5,2.4,1.8,128884,0.99,99.7
2013年11月,1,101.8 ,101.8,102.7,114.8,100.6,101.1,4.1,2.4,129913,1.01,101.1
2013年12月,1,101.6 ,101.8,102.2,110.2,99.1,101.8,2.5,2.9,130942,1.03,100.6
2014年1月,1,103.7 ,103.8,103.3,113.4,99.5,108.3,4.4,4.4,135789,1.04,97.8
2014年2月,1,103.1 ,102.7,101.9,111.7,98.3,103.9,3.6,2,140635,1.06,101.5
2014年3月,1,105.5 ,104.2,102.2,110.9,97.8,109,11,7.5,145482,1.07,99
2014年4月,1,100.8 ,99.6,100.3,109.6,98.7,100.7,-4.3,-3,139730,1.08,100.4
2014年5月,1,101.1 ,101.9,101.7,106.8,100.3,99.8,-0.4,-1.3,133977,1.09,100.4
2014年6月,1,99.8 ,100.3,99.7,103.5,99.1,100.6,-0.6,-0.5,128225,1.09,100.5
2014年7月,1,100.2 ,100.1,100.4,101,100.8,101.7,0.6,-0.1,130192,1.1,100.8
2014年8月,1,99.5 ,99.5,99.3,99.8,98.6,100,1.2,-2.8,132160,1.1,101.4
2014年9月,1,100.7 ,100.7,101.3,102.4,99.8,102.2,2.3,1.3,134127,1.1,102.2
2014年10月,1,100.4 ,100.4,101.2,98.6,101.1,101.7,1.4,-0.1,135652,1.11,103.6
2014年11月,1,100.0 ,100.4,100.9,99.3,98.2,101.2,0.5,-4.1,137178,1.12,101.6
2014年12月,1,100.3 ,99.9,100.9,98.2,99.6,100.4,0.1,-2,138703,1.14,103.1
2015年1月,1,101.5 ,102.9,102.7,100.8,100.6,107.7,-2,-3.1,141091,1.15,107.1
2015年2月,1,100.2 ,99.8,100.8,100.5,99.5,98.9,-1.7,-4,143480,1.16,98.3
2015年3月,1,99.3 ,99.3,99.6,99.8,100.6,99.9,-9.7,-7.7,145868,1.16,102.1
2015年4月,1,100.2 ,99.5,100,98,100.8,100.1,4.9,1.5,148398,1.16,101.4
2015年5月,1,99.7 ,99.5,99.8,98.5,97.6,100,3,-4.1,150928,1.18,99.3
2015年6月,1,100.6 ,100.4,100.3,99,100.2,101,1,1.1,153458,1.19,99.6
2015年7月,1,100.3 ,100.3,99.5,99.6,101.4,101.2,1.8,-0.7,152085,1.2,100
2015年8月,1,99.5 ,98.6,98.2,98.9,99.8,99.1,0.8,-0.8,150712,1.22,98
2015年9月,1,100.2 ,100.6,101.4,101.9,99.8,100,-0.1,-2.9,149339,1.23,98.4
2015年10月,1,100.3 ,100.7,101,102.3,99.8,99.4,1.8,-1.8,148923,1.24,98.9
2015年11月,1,99.4 ,99.9,99.1,100.7,99.4,97.7,-1.1,-2.2,148508,1.26,99.6
2015年12月,1,98.5 ,98.5,97.8,99,100.6,96.1,-1.1,-3.9,148092,1.27,97.5
2016年1月,1,99.2 ,100.1,99.3,101.2,101.6,98.5,-0.2,-6.2,146845,1.29,99.1
2016年2月,1,98.7 ,99.2,98.9,96.7,102.1,97.8,0.4,-4,145599,1.3,97
2016年3月,1,98.4 ,99.7,98.5,98,103.3,97.7,-1,-6.8,144352,1.31,98.9
2016年4月,1,98.6 ,99.3,98.9,98.9,101.2,98.3,-0.9,-5.3,143429,1.33,97.4
2016年5月,1,98.0 ,98.5,98.2,99.5,98.9,97.2,-2.1,-6.7,142505,1.35,100.6
2016年6月,1,98.3 ,99.2,99.3,98.3,101.7,97.8,-1.3,-7.3,141582,1.36,100.7
2016年7月,1,98.9 ,99.8,99.9,102.7,100.4,98.7,-0.2,-7.6,143269,1.36,100.2
2016年8月,1,99.1 ,100.5,100.4,100.6,101.3,99,-2.2,-3.8,144955,1.38,98.8
2016年9月,1,99.4 ,100.7,101.1,100.9,102.6,99.4,-1.7,-6,146642,1.38,103.1
2016年10月,1,100.1 ,101,101.8,104.2,100.5,99.7,-0.2,-6.6,150730,1.4,101.9
2016年11月,1,101.4 ,102,102.8,106.6,101.5,100.9,1.7,-1.3,154817,1.41,104.2
2016年12月,1,101.3 ,102,103.1,103.9,102.2,100.1,0.7,-2.4,158905,1.42,104.1
2017年1月,1,101.0 ,100.9,102.2,99.2,101.7,99.4,1,-0.2,160280,1.43,103
2017年2月,1,101.5 ,101.6,102.4,103.2,102.5,99,0.2,-0.4,161655,1.45,106.6
2017年3月,1,101.5 ,101.5,103,102.4,102.5,97.2,2.1,3.2,163030,1.46,105.3
2017年4月,1,102.9 ,104.1,104.2,109,102.1,100.9,3.2,0.9,162908,1.48,101.2
2017年5月,1,102.1 ,102.3,101.7,102.2,101.6,102.4,2.1,6.3,162785,1.48,105.3
2017年6月,1,102.6 ,103.3,104.1,105.7,103.4,102.9,2.2,4.4,162663,1.5,105.5
2017年7月,1,102.1 ,102.5,103.5,103.1,101.4,100.7,1.8,3.1,163975,1.51,105.8
2017年8月,1,103.5 ,104,105.1,104.6,102.3,105.8,1.8,4.3,165286,1.52,108.1
2017年9月,1,102.7 ,103,103.5,102,103.4,102.2,2.3,4,166598,1.53,106.4
2017年10月,1,102.7 ,103.3,103.2,101.6,102.4,103.5,-0.2,5.1,169181,1.55,106.2
2017年11月,1,104.2 ,104.2,105.3,103.4,103.1,105.2,2.1,5.7,171764,1.56,108.2
2017年12月,1,105.4 ,105.8,106,106.4,103.2,107,3.6,7,174347,1.58,108.9
2018年1月,1,102.6 ,101.4,101.8,100.8,102.8,103.4,1.5,7.1,173675,1.6,112.1
2018年2月,1,103.3 ,104,104.4,106.7,102.1,103.3,1.7,4.2,173003,1.59,105.7
2018年3月,1,103.2 ,105.1,104.9,106.2,103.2,105,1,2.9,172331,1.59,108.7
2018年4月,1,104.0 ,104.5,105.5,108.6,103.5,107.5,1.5,6.6,174552,1.59,110.9
2018年5月,1,103.6 ,104.8,105.2,103.4,105.4,104.5,0.6,6.6,176774,1.59,108.9
